entrez_id	gene_symbol	GSM7988184	GSM7988186	GSM7988187	GSM7988188	GSM7988191	GSM7988194	GSM7988195	GSM7988197	GSM7988198	GSM7988200	GSM7988202	GSM7988203	GSM7988208	GSM7988211	GSM7988212	GSM7988214	GSM7988215	GSM7988217	GSM7988219	GSM7988221	GSM7988222	GSM7988223	GSM7988225
HCE000104	HCE000104	12.5990992377115	12.6331314654277	12.6991603197751	12.56257634276	12.6267129015308	12.6430444454897	12.6425481546009	12.6304719094725	12.6421194023078	12.6391145631794	12.6653359171852	12.5965392038973	12.5850799027671	12.5982619084367	12.628582238813	12.5751137497769	12.6146868417788	12.6438111048502	12.6162501658012	12.6084165500248	12.6186607994717	12.6030003614146	12.6013761749897
HCE000342	HCE000342	15.7727346801514	15.6539786336296	15.777034372752	15.7218601848088	15.8005435288336	15.7346011388574	15.9114551886367	16.036918383346	15.8146675751937	15.9106567826256	15.8252892540038	15.7845735051786	15.8848430475185	15.7799578355717	15.851653893009	15.7352413255334	15.792528507605	15.7863896089753	15.7827192841167	15.7761219846272	15.7543499396801	15.8006926593611	15.6957176632282
HCE000414	HCE000414	14.7714224090335	14.7171944447265	14.7569523838444	14.7403605241057	14.7805961536833	14.7485440443685	14.8167686824707	14.973127816209	14.7321038133685	14.8227898872819	14.7939690165964	14.7391846367674	14.7917682944902	14.7554561609077	14.7775635504331	14.6971087469994	14.750555214762	14.7742156738151	14.7253982132795	14.7648042219378	14.7616083656934	14.7082378988252	14.6958644423842
HCE000483	HCE000483	7.40258575823259	7.51963625284321	7.3654475885501	7.54920708935568	7.55228483994351	7.54457811733884	7.32553033156756	7.28909670241999	7.4708621994137	7.43379405875492	7.39403389536778	7.52356195605701	7.4586116725846	7.5352753766208	7.51333282374013	7.5438051759644	7.54148386405428	7.61544572530479	7.57516103342539	7.57516103342539	7.61911951145322	7.59245703726808	7.55228483994351
HCE001796	HCE001796	16.57486105151	16.4115457441507	16.564765767424	16.5362532876242	16.6131390923906	16.5134700810168	16.8792122861006	16.6708539976347	16.7028098395949	16.862823784017	16.5990280254848	16.6217929052404	16.7488165545389	16.6229569387463	16.7298331388484	16.4935427647339	16.6468568033313	16.6190851131133	16.5664822152379	16.5917765255486	16.579102287385	16.5947838299655	16.4792766093814
HCE003167	HCE003167	13.9194965129266	13.8444507794611	13.9742263531481	13.8958308553201	13.8797746773369	13.9175585585104	13.9416895581858	13.930580273329	13.8931687846736	13.950856579054	13.9313746580796	13.8983557531425	13.9090680222461	13.8539722630553	13.866090807711	13.8707500033461	13.8712892278117	13.8416429665715	13.8604565587815	13.8789130524818	13.8470671363339	13.8890000348924	13.8313666290387
HCE003183	HCE003183	11.0670309413455	11.0285277138994	11.0869323411374	11.0875291400505	11.0068870564812	11.0505289055306	11.0190346693643	11.2252676986357	11.0290801266917	11.0267309101098	11.0670981857484	11.0246548904103	11.0124150326022	11.0265926016982	10.9929383361658	11.0522283933474	11.0330788061306	11.027284011201	11.0455549124587	11.040906125667	11.03128766508	11.0381645313393	11.0376155867274
HCE003300	HCE003300	10.5159954422275	10.5169803514963	10.5135302233492	10.5393527087013	10.4850242333234	10.5112584955023	10.5114561791201	10.4958550268872	10.503428246592	10.5057123280149	10.4838157772643	10.5258144077884	10.5020361635994	10.5010409955659	10.4828079567267	10.4945556167095	10.4986497877684	10.4986497877684	10.4932550351207	10.5158969143093	10.5074973509767	10.503428246592	10.5116538356543
HCE004152	HCE004152	5.72519581722666	5.85299758761332	4.88752527074159	5.66106547980695	5.97269265400426	5.83541884047548	5.67807190511264	5.39917109381982	5.7839804136838	5.5668151540109	5.25550073314839	5.74953426766926	5.74146698640115	5.97956810009519	5.99774402605963	6.01792190799726	6.00450139223494	5.97498811199193	6.02236781302845	5.92837032301897	6.17592374206376	6.11894107272351	6.05961485629722
HCE004331	HCE004331	6.63081315229913	6.74416109557041	6.63952159951083	6.54689445988764	6.78135971352466	6.44956137461324	6.17990909001493	6.05311133645956	6.66249036391378	6.38370429247405	6.2592724870376	6.68369645430652	6.38024459047818	6.6724253419715	6.61618123133188	6.76420813013995	6.63226821549951	6.71836162613835	6.73741636593706	6.62058641045188	6.68929916053589	6.65963918701565	6.70182625841205
HCE004333	HCE004333	8.70977310785294	8.61507783162923	8.55573947918052	8.6409679104499	8.5853381536437	8.6499746511581	8.558037984777	8.51727569320958	8.5928307440545	8.54573675349338	8.57516103342539	8.57288966842058	8.60325542454685	8.61948637605555	8.5928307440545	8.61102479730735	8.64024493622235	8.64493780550018	8.64277376253308	8.60288440871842	8.57213175138666	8.56757586852411	8.63662462054365
HCE004359	HCE004359	9.62570884306447	9.62260096431141	9.65463602852797	9.64547830942441	9.64187111904441	9.59507095419544	9.60529430783728	9.53585855861657	9.60473853445992	9.6056647045122	9.63190458725792	9.67860013909946	9.62351574149055	9.6269866144248	9.62040312962321	9.62953876704543	9.61581352518973	9.61065577440193	9.61636504926433	9.61599738997567	9.59972691589769	9.59544398458948	9.60510907383293
SL000001	MUC1	10.4827071359404	10.1246383141787	10.6140656400228	9.94148783266985	10.3451834471877	10.4111931787717	10.8856201189436	9.56395889681009	10.1526651160093	10.1317283724327	10.7034710460719	10.2467405984931	9.96188373994353	10.4893462407191	9.897542972507	9.45265308600623	10.0547399669703	10.0317701141607	10.5097750043269	9.88919972573829	9.95026426675727	9.72092824314849	10.1250259443922
